一2542556
乙  11559
丁  13648
七  62853
乃  15520
九  60561
了1507218
二 260189
人1598855
儿     13
入 167507
八  85474
几   3882
刀  26549
刁   1380
力 247326
匕    529
十 222525
卜   3843
又 249806
三 301762
下 589356
丈   5182
上 828394
丫    601
丸   9938
凡  20171
久  75514
么   7768
也 712260
乞   1137
于  10333
亡  15636
兀    463
刃   1331
勺    145
千  59102
叉   4792
口  88727
土  45706
士 113982
夕   7207
大1891383
女 245920
子 459460
孑    114
孓     76
寸   4930
小 530133
尢     36
尸    401
山 131818
川  12738
工 521467
己 228330
已 235726
巳    650
巾   1208
干  12270
廾     34
弋    430
弓   2630
才 214782
丑   1246
丐   1256
不2831612
中1322363
丰   1128
丹   7705
之 527444
尹   3101
予  15645
云   6741
井  12829
互  19113
五 122901
亢    574
仁  30825
什 276297
仃     96
仆    361
仇   5949
仍  47529
今 143560
介  53811
仄   1284
元 100523
允   5483
內 160755
六  71823
兮  18079
公 195727
冗   1081
凶   1803
分 243477
切  58909
刈    122
勻   1148
勾   4383
勿   9734
化 119804
匹   3185
午  33188
升  26085
卅   1428
卞    132
厄    921
友 214814
及 193509
反 114332
壬    288
天 569684
夫  33289
太 232918
夭   1099
孔   8556
少 206744
尤  29292
尺  11878
屯   1101
巴  31055
幻  23331
廿   2475
弔    644
引  74461
心 445610
戈   3008
戶  12704
手 236673
扎   3344
支  92264
文 651140
斗   5641
斤   3032
方 310681
日 273090
曰   7315
月 177519
木  39692
欠   4705
止  36248
歹   2758
毋   3073
比 253132
毛  27053
氏   6761
水 186822
火  64196
爪   1861
父  30608
爻    306
片 107600
牙  12472
牛  34225
犬   2637
王 119466
丙   5272
世 116862
丕    412
且 128957
丘   3116
主 224073
乍   1086
乏   7468
乎  76041
以 994958
付  25729
仔  30580
仕   1816
他 635766
仗   3632
代 141314
令  69051
仙  16789
仞    249
充  29996
兄  89901
冉    485
冊  23203
冬  11656
凹   1195
出 513081
凸   1661
刊  17481
加 205509
功 111553
包  60049
匆   4444
北 112186
匝    210
仟   1341
半  69801
卉    421
卡  90309
占   4124
卯    883
卮     19
去 443547
可 992842
古  51625
右  39017
召   7837
叮   3687
叩   1059
叨    340
叼    144
司  49008
叵     54
叫 100049
另  83262
只 443992
史  43277
叱    282
台 414094
句  41088
叭   8189
叻     25
四 165306
囚   1091
外 217422
央 103704
失  84799
奴   2456
奶  11954
孕   3953
它 160436
尼  18042
巨  20242
巧  24208
左  40106
市 105637
